graph_id,graph_label,variant,erase_loops,src,tgt,exposure_pct
geant,GÉANT,HS,False,MAR,LJU,82.600000
geant,GÉANT,HS,False,MAR,ZAG,78.300000
geant,GÉANT,HS,False,MAR,BER,74.700000
geant,GÉANT,HS,False,MAR,HAM,69.300000
geant,GÉANT,HS,False,MAR,BUC,78.300000
geant,GÉANT,HS,False,MAR,SOF,84.100000
geant,GÉANT,HS,False,MAR,TAR,79.000000
geant,GÉANT,HS,False,MAR,LIS,66.900000
geant,GÉANT,HS,False,MAR,POR,75.500000
geant,GÉANT,HS,False,MAR,COP,74.700000
geant,GÉANT,HS,False,MAR,LON,62.100000
geant,GÉANT,HS,False,MAR,BEL,78.300000
geant,GÉANT,HS,False,MAR,DUB,81.300000
geant,GÉANT,HS,False,MAR,MIL,0.000000
geant,GÉANT,HS,False,MAR,BRU,52.700000
geant,GÉANT,HS,False,MAR,LUX,64.300000
geant,GÉANT,HS,False,MAR,TIR,84.100000
geant,GÉANT,HS,False,MAR,POZ,74.700000
geant,GÉANT,HS,False,MAR,AMS,49.800000
geant,GÉANT,HS,False,MAR,COR,88.100000
geant,GÉANT,HS,False,MAR,FRA,50.900000
geant,GÉANT,HS,False,MAR,MAD,0.000000
